date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:18	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22693afc33-239b%22	https://sigmausdts.github.io/robots.txt		(from )
18:48:21	354675/354675	---M-Z	200	added ('OK')	text/html	etag:W/%22694a7887-56973%22	https://sigmausdts.github.io/Globe-Express/	C:/My%20Web%20Sites/Global%20Express/sigmausdts.github.io/Globe-Express/index.html	(from )
18:48:22	195415/195415	---M--	200	added ('OK')	text/javascript	etag:969088456655637210	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4478512359413120	C:/My%20Web%20Sites/Global%20Express/pagead2.googlesyndication.com/pagead/js/ff3fe.txt	(from https://sigmausdts.github.io/Globe-Express/)
18:48:23	25100/25100	---M--	200	added ('OK')	text/javascript	etag:%224fc3df446cb62a98%22	https://cdn.ampproject.org/v0/amp-auto-ads-0.1.js	C:/My%20Web%20Sites/Global%20Express/cdn.ampproject.org/v0/amp-auto-ads-0.1.js	(from https://sigmausdts.github.io/Globe-Express/)
18:48:24	42368/42368	---M-Z	200	added ('OK')	text/css	etag:%22a580-65ddb967-59f7b2ee5018bd6f;gz%22	https://usaexpressblogs.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.6.5	C:/My%20Web%20Sites/Global%20Express/usaexpressblogs.com/wp-content/themes/astra/assets/css/minified/main.min1dc6.css	(from https://sigmausdts.github.io/Globe-Express/)
18:48:24	119695/119695	---M-Z	200	added ('OK')	text/css	etag:%221d38f-693059bb-fa9ec81d636d7af2;gz%22	https://usaexpressblogs.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.2	C:/My%20Web%20Sites/Global%20Express/usaexpressblogs.com/wp-includes/css/dist/block-library/style.min6c2d.css	(from https://sigmausdts.github.io/Globe-Express/)
18:48:25	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-673ddbe0-e799cf5e77ab9a11;gz%22	https://usaexpressblogs.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0	C:/My%20Web%20Sites/Global%20Express/usaexpressblogs.com/wp-content/plugins/contact-form-7/includes/css/stylesf049.css	(from https://sigmausdts.github.io/Globe-Express/)
18:48:26	882/882	---M-Z	200	added ('OK')	text/css	etag:%22372-65ddb967-c714ed45d5b6d97b;gz%22	https://usaexpressblogs.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min.css?ver=4.6.5	C:/My%20Web%20Sites/Global%20Express/usaexpressblogs.com/wp-content/themes/astra/assets/css/minified/compatibility/contact-form-7-main.min1dc6.css	(from https://sigmausdts.github.io/Globe-Express/)
18:48:26	39042/39042	---M-Z	200	added ('OK')	text/css	etag:%229882-6746d133-3147d093edca5a88;gz%22	https://usaexpressblogs.com/wp-content/plugins/guest-post-plugin-updated/css/custom-login-register.css?ver=6.8.2	C:/My%20Web%20Sites/Global%20Express/usaexpressblogs.com/wp-content/plugins/guest-post-plugin-updated/css/custom-login-register6c2d.css	(from https://sigmausdts.github.io/Globe-Express/)
18:48:27	929/929	---M-Z	200	added ('OK')	text/css	etag:%223a1-673d6e7d-1254c48099813c4e;gz%22	https://usaexpressblogs.com/wp-content/plugins/if-menu/assets/if-menu-site.css?ver=6.8.2	C:/My%20Web%20Sites/Global%20Express/usaexpressblogs.com/wp-content/plugins/if-menu/assets/if-menu-site6c2d.css	(from https://sigmausdts.github.io/Globe-Express/)
